name,colour_from_title,price_current_inr,price_current_usd,price_original_inr,discount_pct_display,discount_pct_calc,on_sale,materials_text,made_in,currency,price_current_local,price_original_local
CAMISOLE DRESS WITH CHAIN - THE ITEM ZARA WOMAN - Burgundy | ZARA India,Burgundy,1910.00,12.65,9550.00,-80,80,True,95% WOOL PLAIN KNIT POLO SHIRT | 100% viscose,Morocco,INR,,
CHAIN SLIP DRESS - THE ITEM ZARA WOMAN - Burgundy | ZARA United States,Burgundy,,29.80,,-80,80,True,100% viscose,,USD,28.80,149.00
,,,,,,,,,,,,
ZW COLLECTION MID-WAIST BARREL JEANS - Brown | ZARA India,Brown,870.00,10.48,4350.00,-80,80.00,True,Composition: 100% cotton | 100% cotton | 20% RCS certified recycled cotton | 80% OCS certified organically grown cotton,Turkey,INR,,
ZW COLLECTION MID-RISE BARREL LEG JEANS - Brown | ZARA United States,Brown,,13.98,,-80,80.00,True,Composition: 100% cotton | 100% cotton | 20% RCS-certified recycled cotton | 80% OCS certified organically grown cotton,,USD,13.98,69.90
,,,,,,,,,,,,
HERRINGBONE WOOL BLEND BLAZER ZW COLLECTION - Light brown | ZARA India,Light brown,1910.00,23.01,9550.00,-80,80.00,True,63% polyester | 33% wool | 55% polyester | 45% viscose | 63% RCS certified recycled polyester | 33% RCS certified recycled wool,China,INR,,
HERRINGBONE WOOL BLAZER ZW COLLECTION - Light brown | ZARA United States,Light brown,,29.80,,-80,80.00,True,63% polyester | 33% wool | 55% polyester | 45% viscose | 63% RCS-certified recycled polyester | 33% RCS-certified recycled wool,,USD,29.80,149.00
,,,,,,,,,,,,
ZW COLLECTION LIMITED EDITION EMBROIDERED DRESS WITH BEADS - Brown | ZARA India,Brown,2390.00,28.80,11950.00,-80,80.00,True,100% viscose | 70% polyester | 100% polyester | 70% RCS certified recycled polyester | 100% RCS certified recycled polyester,India,INR,,
EMBROIDERED BEADED DRESS ZW COLLECTION LIMITED EDITION - Brown | ZARA United States,Brown,,35.80,,-80,80.00,True,100% viscose | 70% polyester | 100% polyester | 70% RCS-certified recycled polyester | 100% RCS-certified recycled polyester,,USD,35.80,179.00
,,,,,,,,,,,,
ZW COLLECTION LIMITED EDITION EMBROIDERED VELVET KIMONO - Ochre | ZARA India,Ochre,3110.00,37.47,15550.00,-80,80.00,True,100% polyester | 100% cotton | 100% RCS certified recycled polyester | 100% OCS certified organically grown cotton,India,INR,,
ZW COLLECTION LIMITED EDITION EMBROIDERED VELVET KIMONO - Ocher | ZARA United States,Ocher,,45.80,,-80,80.00,True,100% polyester | 100% cotton | 100% RCS-certified recycled polyester | 100% OCS certified organically grown cotton,,USD,45.80,229.00
,,,,,,,,,,,,
Search engine | ZARA India,,3550.00,42.77,4350.00,,18.39,True,,,INR,,
LEATHER SLINGBACK SANDALS - Black | ZARA United States,Black,,22.77,,-70,70.00,True,100% polyester | 100% RCS-certified recycled polyester,,USD,22.77,75.90
,,,,,,,,,,,,
ZW COLLECTION BALLOON HIGH-WAIST JEANS - Blue | ZARA India,Blue,1190.00,14.34,5950.00,-80,80.00,True,Composition: 100% cotton | 100% cotton,Turkey,INR,,
ZW COLLECTION HIGH-WAIST BALLOON JEANS - Blue | ZARA United States,Blue,,19.98,,-80,80.00,True,Composition: 100% cotton | 100% cotton,,USD,19.98,99.90
,,,,,,,,,,,,
ZW COLLECTION LIMITED EDITION SEQUIN STRAPPY TOP - Copper | ZARA India,Copper,2390.00,28.80,11950.00,-80,80.00,True,100% polyester | 100% viscose | 100% RCS certified recycled polyester,India,INR,,
ZW COLLECTION LIMITED EDITION SEQUIN STRAP TOP - Copper | ZARA United States,Copper,,35.80,,-80,80.00,True,100% polyester | 100% viscose | 100% RCS-certified recycled polyester,,USD,35.80,179.00
,,,,,,,,,,,,
FAUX FUR COLLAR FITTED BLAZER ZW COLLECTION - Grey marl | ZARA India,Grey marl,1910.00,23.01,9550.00,-80,80.00,True,35% cotton | 34% polyester | 30% viscose | 100% viscose | 34% RCS certified recycled polyester | 35% RCS certified recycled cotton,Morocco,INR,,
FITTED BLAZER WITH FAUX FUR COLLAR ZW COLLECTION - Gray marl | ZARA United States,Gray marl,,29.80,,-80,80.00,True,35% cotton | 34% polyester | 30% viscose | 100% viscose | 34% RCS-certified recycled polyester | 35% RCS-certified recycled cotton,,USD,29.80,149.00
,,,,,,,,,,,,
ZW COLLECTION STRIPED BALLOON TROUSERS - brown vigore | ZARA India,brown vigore,1190.00,14.34,5950.00,-80,80.00,True,100% cotton | 100% polyester,Morocco,INR,,
BALLOON STRIPED PANTS ZW COLLECTION - brown vigore | ZARA United States,brown vigore,,19.98,,-80,80.00,True,100% cotton | 100% polyester,,USD,19.98,99.90
,,,,,,,,,,,,
